id,Console,Title,US Sales (millions),YearReleased,Publisher,Genre,Sequel,Re-release,Usedprice,lnUsedPrice,Review Score,RatingE,RatingT,RatingM,MaxPlayers,Online,Licensed,Handheld,Accessory,LtdEdition,Multiplatform,GBA,GCN,NDS,Wii,PS2,PS3,PSP,Xbox,X360,Action,Adventure,Educational,Racing,RPG,Simulation,Sports,Strategy,2K
1,Nintendo DS,Super Mario 64 DS,4.69,2004,"Nintendo Australia Pty., Ltd., Nintendo Co., Ltd., Nintendo of America Inc., Nintendo of Europe GmbH",Action,1,1,24.95,3.216873822,85,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2,Sony PSP,Lumines: Puzzle Fusion,0.56,2004,"Bandai Co., Ltd., Ubisoft Entertainment SA, Ubisoft, Inc.",Strategy,0,0,14.95,2.7047113,89,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
3,Nintendo DS,WarioWare Touched!,0.54,2004,"Nintendo Australia Pty., Ltd., Nintendo Co., Ltd., Nintendo of America Inc., Nintendo of Europe GmbH","Action, Racing / Driving, Sports",1,0,22.95,3.133317937,81,1,0,0,2,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0
4,Sony PSP,Hot Shots Golf: Open Tee,0.49,2004,"Sony Computer Entertainment America, Inc., SCEE, Sony Computer Entertainment Europe Ltd., Sony Computer Entertainment Incorporated",Sports,0,0,12.95,2.561095788,81,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
5,Nintendo DS,Spider-Man 2,0.45,2004,"Activision Asia-Pacific, Activision Deutschland GmbH, Activision Publishing, Inc., Activision (UK) Limited, ATVI France SARL, Taito Corporation",Action,1,0,14.95,2.7047113,61,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
6,Nintendo DS,The Urbz: Sims in the City,0.41,2004,"Electronic Arts, Inc.",Simulation,1,0,12.95,2.561095788,67,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
7,Sony PSP,Ridge Racer,0.36,2004,"Namco Hometek Inc., Namco Limited, SCEE",Racing / Driving,1,0,19.95,2.993229143,88,1,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
8,Sony PSP,Metal Gear Ac!d,0.34,2004,"Konami Corporation, Konami of Europe GmbH, Konami Digital Entertainment, Inc.",Strategy,0,0,17.95,2.887590115,75,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
9,Nintendo DS,Madden NFL 2005,0.25,2004,"Electronic Arts, Inc.",Sports,1,0,8.95,2.191653532,68,1,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
10,Nintendo DS,Pok�mon Dash,0.22,2004,"Nintendo Co., Ltd., Nintendo of America Inc., Nintendo of Europe GmbH",Racing / Driving,0,0,24.95,3.216873822,46,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
11,Sony PSP,Dynasty Warriors,0.2,2004,"KOEI Co., Ltd., KOEI Corporation, KOEI Ltd.","Action, Adventure, Role-Playing (RPG)",1,0,14.95,2.7047113,62,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0
12,Nintendo DS,Feel the Magic XY/XX,0.16,2004,"SEGA Corporation, SEGA Europe Ltd.","Action, Adventure, Racing / Driving, Sports",0,0,8.95,2.191653532,75,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0
13,Nintendo DS,Ridge Racer DS,0.15,2004,Namco Hometek Inc.,Racing / Driving,1,0,9.95,2.297572551,63,1,0,0,1,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
14,Sony PSP,Darkstalkers Chronicle: The Chaos Tower,0.14,2004,"Capcom Co., Ltd., Capcom Entertainment, Inc., CE Europe Ltd.",Action,0,1,14.95,2.7047113,74,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
15,Sony PSP,Ape Escape Academy,0.13,2004,"Sony Computer Entertainment America, Inc., SCEE, Sony Computer Entertainment Europe Ltd., Sony Computer Entertainment Incorporated","Action, Sports",1,0,14.95,2.7047113,51,1,0,0,4,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0
16,Nintendo DS,Polarium,0.12,2004,"Nintendo Co., Ltd., Nintendo of America Inc., Nintendo of Europe GmbH",Strategy,0,0,8.95,2.191653532,73,1,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
17,Nintendo DS,Asphalt: Urban GT,0.11,2004,"Taito Corporation, Ubisoft Entertainment SA, Ubisoft, Inc.","Racing / Driving, Simulation",0,0,14.95,2.7047113,60,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
18,Nintendo DS,Ping Pals,0.11,2004,THQ Inc.,Action,0,0,7.95,2.073171929,28,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
19,Nintendo DS,Zoo Keeper,0.1,2004,"Ignition Entertainment Ltd., Ignition Entertainment Ltd. USA, Success Corp.",Action,0,0,14.95,2.7047113,74,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
20,Nintendo DS,Mr. DRILLER: Drill Spirits,0.09,2004,"Namco Europe Limited, Namco Hometek Inc., Namco Limited",Action,1,0,14.95,2.7047113,72,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
21,Nintendo DS,Sprung,0.06,2004,"Ubisoft Entertainment SA, Ubisoft, Inc.",Adventure,0,0,8.95,2.191653532,48,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
22,Sony PSP,Armored Core: Formula Front - Extreme Battle,0.05,2004,"505 GameStreet, Agetec, Inc., FromSoftware, Inc.","Action, Strategy",1,0,16.95,2.830267834,66,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0
23,Nintendo DS,Puyo Pop Fever,0.04,2004,"Atlus U.S.A., Inc., SEGA Corporation, SEGA Europe Ltd.","Action, Strategy",0,1,19.95,2.993229143,76,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
24,Nintendo DS,Mario Kart DS,9.99,2005,"Nintendo Co., Ltd., Nintendo of America Inc., Nintendo of Canada Ltd., Nintendo of Europe GmbH",Racing / Driving,1,0,29.95,3.399529325,91,1,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
25,Nintendo DS,Nintendogs,9.72,2005,"Nintendo Co., Ltd., Nintendo of America Inc., Nintendo of Europe GmbH",Simulation,0,0,26.95,3.293983297,83,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
26,Nintendo DS,Brain Age: Train Your Brain in Minutes a Day!,5.07,2005,"Nintendo Co., Ltd., Nintendo of America Inc., Nintendo of Canada Ltd., Nintendo of Europe GmbH",Action,0,0,17.95,2.887590115,77,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
27,Nintendo DS,Brain Age�: More Training in Minutes a Day!,3.65,2005,"Nintendo Co., Ltd., Nintendo France SARL, Nintendo of America Inc., Nintendo of Europe GmbH",Action,1,0,17.95,2.887590115,77,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
28,Sony PSP,Grand Theft Auto: Liberty City Stories,2.97,2005,"Capcom Co., Ltd., Rockstar Games, Inc.","Action, Racing / Driving",1,0,17.95,2.887590115,88,0,0,1,1,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0
29,Nintendo DS,Animal Crossing: Wild World,2.6,2005,"Nintendo Co., Ltd., Nintendo of America Inc., Nintendo of Canada Ltd., Nintendo of Europe GmbH",Simulation,1,0,24.95,3.216873822,86,1,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
30,Nintendo DS,Big Brain Academy,1.77,2005,"Nintendo Co., Ltd., Nintendo of America Inc., Nintendo of Canada Ltd., Nintendo of Europe GmbH",Action,0,0,16.95,2.830267834,74,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
31,X360,Call of Duty 2,1.69,2005,"Activision Deutschland GmbH, Activision Italia, Activision Publishing, Inc., Activision (UK) Limited, Konami Digital Entertainment Co., Ltd.",Action,1,0,17.95,2.887590115,89,0,1,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
32,Sony PSP,Midnight Club 3: DUB Edition,1.69,2005,"Rockstar Games, Inc.",Racing / Driving,1,0,14.95,2.7047113,74,0,0,0,1,1,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
33,Sony PSP,Need for Speed: Most Wanted 5-1-0,1.67,2005,"Electronic Arts, Inc.",Racing / Driving,1,0,14.95,2.7047113,72,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
34,Nintendo DS,Pok�mon Mystery Dungeon: Blue Rescue Team,1.22,2005,"Nintendo Co., Ltd., Nintendo of America Inc., Nintendo of Europe GmbH",Role-Playing (RPG),1,0,14.95,2.7047113,62,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
35,Nintendo DS,Sonic Rush,1.2,2005,"SEGA Corporation, SEGA Europe Ltd., SEGA of America, Inc.",Action,1,0,14.95,2.7047113,82,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
36,Sony PSP,Star Wars: Battlefront II,1.09,2005,LucasArts,Action,1,0,16.95,2.830267834,69,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
37,Sony PSP,SOCOM: U.S. Navy SEALs - Fireteam Bravo,1.07,2005,"Sony Computer Entertainment America, Inc., SCEE",Action,1,0,14.95,2.7047113,82,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
38,X360,Need for Speed: Most Wanted,0.95,2005,"Electronic Arts UK Ltd., Electronic Arts, Inc.",Racing / Driving,1,0,17.95,2.887590115,83,0,1,0,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
39,Nintendo DS,Zoo Tycoon DS,0.92,2005,THQ Inc.,"Simulation, Strategy",0,1,12.95,2.561095788,44,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
40,Nintendo DS,The Sims 2,0.83,2005,"Electronic Arts, Inc.","Role-Playing (RPG), Simulation",1,0,17.95,2.887590115,70,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
41,Sony PSP,Namco Museum Battle Collection,0.77,2005,"Namco Hometek Inc., SCEE","Action, Racing / Driving",0,1,17.95,2.887590115,73,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0
42,Nintendo DS,Mario & Luigi: Partners in Time,0.75,2005,"Nintendo Co., Ltd., Nintendo of America Inc., Nintendo of Europe GmbH","Action, Role-Playing (RPG)",1,0,29.95,3.399529325,86,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
43,Sony PSP,Madden NFL 06,0.75,2005,"Electronic Arts, Inc.",Sports,1,0,7.95,2.073171929,75,1,0,0,1,1,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
44,Sony PSP,Need for Speed Underground: Rivals,0.73,2005,"Electronic Arts, Inc.",Racing / Driving,1,0,17.95,2.887590115,74,1,0,0,4,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
45,Sony PSP,Twisted Metal: Head-On,0.73,2005,"Sony Computer Entertainment America, Inc., SCEA, SCEE","Action, Racing / Driving",1,0,14.95,2.7047113,79,0,1,0,1,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0
46,X360,Perfect Dark Zero,0.7,2005,Microsoft Games Studios,Action,1,0,17.95,2.887590115,79,0,0,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
47,Nintendo DS,Super Monkey Ball: Touch & Roll,0.7,2005,"SEGA Corporation, SEGA Europe Ltd., SEGA of America, Inc.",Action,1,0,15.95,2.769458829,63,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
48,Nintendo DS,Super Princess Peach,0.7,2005,"Nintendo Co., Ltd., Nintendo of America Inc., Nintendo of Europe GmbH",Action,0,0,29.95,3.399529325,75,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
49,Sony PSP,Burnout Legends,0.68,2005,"Electronic Arts UK Ltd., Electronic Arts, Inc.","Action, Racing / Driving",1,0,14.95,2.7047113,86,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0
50,X360,Madden NFL 06,0.62,2005,"Electronic Arts UK Ltd., Electronic Arts, Inc.",Sports,1,0,4.95,1.599387577,74,1,0,0,2,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
51,Nintendo DS,Clubhouse Games,0.61,2005,"Nintendo Co., Ltd., Nintendo of America Inc., Nintendo of Europe GmbH",Strategy,0,0,17.95,2.887590115,83,1,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
52,Sony PSP,ATV Offroad Fury: Blazin' Trails,0.56,2005,"Sony Computer Entertainment America, Inc., SouthPeak Interactive, LLC","Racing / Driving, Sports",0,0,12.95,2.561095788,63,1,0,0,4,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0
53,Sony PSP,Untold Legends: Brotherhood of the Blade,0.56,2005,"Activision Deutschland GmbH, Sony Online Entertainment Inc.","Action, Role-Playing (RPG)",0,0,12.95,2.561095788,68,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0
54,Sony PSP,Tony Hawk's Underground 2: Remix,0.49,2005,"Activision Deutschland GmbH, Activision Publishing, Inc., Activision (UK) Limited",Sports,1,0,14.95,2.7047113,83,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
55,Sony PSP,The Sims 2,0.46,2005,"Electronic Arts, Inc.","Simulation, Strategy",1,0,14.95,2.7047113,65,0,1,0,1,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0
56,Sony PSP,WipEout Pure,0.45,2005,"Sony Computer Entertainment America, Inc., SCEA, SCEE, Sony Computer Entertainment Europe Ltd., Sony Computer Entertainment Japan","Action, Racing / Driving",1,0,12.95,2.561095788,88,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0
57,Sony PSP,NBA Live 06,0.42,2005,"Electronic Arts, Inc.",Sports,1,0,9.95,2.297572551,80,1,0,0,1,1,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
58,Sony PSP,WWE Smackdown vs. Raw 2006,0.38,2005,THQ Inc.,"Action, Sports",1,0,14.95,2.7047113,81,0,1,0,4,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0
59,X360,Dead or Alive 4,0.38,2005,"Tecmo, Inc.",Action,1,0,17.95,2.887590115,85,0,0,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
60,Nintendo DS,Phoenix Wright: Ace Attorney,0.38,2005,"Capcom Co., Ltd., Capcom Entertainment, Inc., CE Europe Ltd.","Adventure, Simulation",0,0,24.95,3.216873822,81,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
61,Sony PSP,Spider-Man 2,0.38,2005,"Activision Publishing, Inc.",Action,1,0,14.95,2.7047113,67,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
62,Sony PSP,NFL Street 2,0.37,2005,"Electronic Arts, Inc.",Sports,1,0,17.95,2.887590115,73,1,0,0,4,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
63,Nintendo DS,Kirby: Canvas Curse,0.37,2005,"Nintendo Co., Ltd., Nintendo of America Inc., Nintendo of Europe GmbH",Action,1,0,17.95,2.887590115,86,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
64,X360,Battlefield 2: Modern Combat,0.36,2005,"Electronic Arts, Inc., Electronic Arts Ltd.",Action,1,0,16.95,2.830267834,77,0,1,0,4,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
65,Nintendo DS,Yoshi Touch & Go,0.36,2005,"Nintendo Co., Ltd., Nintendo of America Inc., Nintendo of Europe GmbH",Action,1,0,17.95,2.887590115,73,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
66,X360,Tiger Woods PGA Tour 06,0.33,2005,"Electronic Arts UK Ltd., Electronic Arts Deutschland GmbH, Electronic Arts, Inc.",Sports,1,0,9.95,2.297572551,71,1,0,0,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
67,X360,Condemned: Criminal Origins,0.33,2005,"SEGA Corporation, SEGA Europe Ltd., SEGA of America, Inc.","Action, Adventure",0,0,14.95,2.7047113,81,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0
68,X360,Peter Jackson's King Kong: The Official Game of...,0.32,2005,"Ubisoft Entertainment SA, Ubisoft, Inc.",Action,0,0,14.95,2.7047113,80,0,1,0,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
69,Nintendo DS,Castlevania: Dawn of Sorrow,0.31,2005,"Konami Co., Ltd., Konami Corporation, Konami Digital Entertainment GmbH, Konami Digital Entertainment, Inc.","Action, Role-Playing (RPG)",1,0,17.95,2.887590115,89,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
70,Nintendo DS,SpongeBob SquarePants: The Yellow Avenger,0.31,2005,"THQ Australia, THQ Inc.",Action,0,0,13.95,2.635479508,67,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
71,Sony PSP,Marvel Nemesis: Rise of the Imperfects ,0.31,2005,"Electronic Arts UK Ltd., Electronic Arts, Inc.",Action,0,0,17.95,2.887590115,58,0,1,0,1,1,1,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
72,X360,Kameo: Elements of Power,0.31,2005,Microsoft Games Studios,Action,0,0,11.95,2.480731278,79,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
73,Nintendo DS,Advance Wars: Dual Strike,0.3,2005,"Nintendo Co., Ltd., Nintendo of America Inc., Nintendo of Europe GmbH",Strategy,1,0,17.95,2.887590115,90,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
74,Nintendo DS,Trauma Center: Under the Knife,0.3,2005,"Atlus Co., Ltd., Atlus U.S.A., Inc., Nintendo of Europe GmbH","Action, Simulation",0,0,15.95,2.769458829,81,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
75,Sony PSP,Coded Arms,0.3,2005,"Konami Corporation, Konami Digital Entertainment GmbH, Konami Digital Entertainment, Inc.",Action,0,0,12.95,2.561095788,59,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
76,X360,NBA LIVE 06 ,0.29,2005,"Electronic Arts, Inc.",Sports,1,0,4.95,1.599387577,64,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
77,X360,Tony Hawk's American Wasteland,0.29,2005,"Activision Deutschland GmbH, Activision Publishing, Inc., Activision (UK) Limited",Sports,1,0,14.95,2.7047113,75,0,1,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
78,Nintendo DS,Star Wars: Episode III - Revenge of the Sith,0.28,2005,"Ubisoft Entertainment SA, Ubisoft, Inc.",Action,1,0,16.95,2.830267834,73,0,1,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
79,Sony PSP,Capcom Classics Collection Remixed,0.28,2005,"Capcom Entertainment, Inc., CE Europe Ltd.",Action,0,1,17.95,2.887590115,72,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
80,Nintendo DS,Madagascar,0.27,2005,"Activision Publishing, Inc.",Adventure,0,0,14.95,2.7047113,66,0,0,0,1,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
81,Sony PSP,X-Men: Legends II - Rise of Apocalypse,0.27,2005,"Activision Deutschland GmbH, Activision Publishing, Inc.","Action, Role-Playing (RPG)",1,0,17.95,2.887590115,84,0,1,0,1,1,1,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0
82,X360,Quake 4,0.27,2005,"Activision Deutschland GmbH, Activision Italia, Activision Publishing, Inc., Activision (UK) Limited",Action,1,0,14.95,2.7047113,75,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
83,Nintendo DS,Pok�mon Trozei!,0.26,2005,"Nintendo Co., Ltd., Nintendo of America Inc., Nintendo of Europe GmbH",Strategy,0,0,19.95,2.993229143,74,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
84,Nintendo DS,Need for Speed: Most Wanted,0.25,2005,"Electronic Arts, Inc.",Racing / Driving,1,0,15.95,2.769458829,45,1,0,0,1,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
85,Sony PSP,Mega Man Maverick Hunter X,0.25,2005,"Capcom Co., Ltd., Capcom Entertainment, Inc., CE Europe Ltd.",Action,0,1,17.95,2.887590115,79,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
86,Sony PSP,MLB,0.24,2005,"Sony Computer Entertainment America, Inc.",Sports,0,0,9.95,2.297572551,80,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
87,Sony PSP,NBA Street Showdown,0.22,2005,"Electronic Arts, Inc.",Sports,1,0,17.95,2.887590115,75,1,0,0,4,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
88,Nintendo DS,Metroid Prime Pinball,0.22,2005,"Nintendo Co., Ltd., Nintendo of America Inc., Nintendo of Europe GmbH","Action, Simulation",1,0,17.95,2.887590115,79,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
89,Sony PSP,NBA 06,0.22,2005,"Sony Computer Entertainment America, Inc.",Sports,1,0,9.95,2.297572551,72,1,0,0,1,1,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
90,X360,GUN ,0.22,2005,"Activision Deutschland GmbH, Activision Publishing, Inc., Activision (UK) Limited","Action, Racing / Driving, Role-Playing (RPG)",0,0,19.95,2.993229143,75,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0
91,X360,NBA 2K6 ,0.22,2005,2K Sports,Sports,1,0,4.95,1.599387577,81,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1
92,Sony PSP,Pinball Hall of Fame: The Gottlieb Collection,0.21,2005,"Crave Entertainment, Inc., Play It Ltd, System 3 Software, Ltd.",Action,1,0,9.95,2.297572551,73,1,0,0,4,1,1,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
93,Nintendo DS,Harry Potter and the Goblet of Fire,0.21,2005,"Electronic Arts Australia, Electronic Arts, Inc.",Action,1,0,17.95,2.887590115,68,0,0,0,1,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
94,Nintendo DS,Tony Hawk's American Sk8land,0.21,2005,"Activision Deutschland GmbH, Activision Publishing, Inc.",Sports,1,0,16.95,2.830267834,84,1,0,0,1,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
95,Sony PSP,Midway Arcade Treasures: Extended Play,0.21,2005,"Midway Games, Inc., Midway Games Ltd.","Action, Racing / Driving, Sports",0,1,14.95,2.7047113,63,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0
96,Sony PSP,MVP Baseball,0.21,2005,"Electronic Arts, Inc.",Sports,0,0,4.95,1.599387577,67,1,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
97,Sony PSP,NBA,0.21,2005,"Sony Computer Entertainment America, Inc.",Sports,0,0,9.95,2.297572551,57,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
98,Sony PSP,Tiger Woods PGA Tour,0.21,2005,"Electronic Arts, Inc.",Sports,0,0,17.95,2.887590115,78,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
99,Sony PSP,World Series of Poker,0.21,2005,"Activision Value Publishing, Inc.","Sports, Strategy",0,0,14.95,2.7047113,37,1,0,0,1,1,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0
100,Sony PSP,SSX on Tour,0.2,2005,"Electronic Arts, Inc.",Sports,1,0,16.95,2.830267834,79,1,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
